"","District Name","County","Region","mean_enrollment","mean_attendence","mean_chronic_absenteesim","mean_expulsions","mean_out_of_school_suspensions","mean_in_school_suspensions","mean_total_students_discipline"
"245","East Preparatory Academy","Cuyahoga","Region 3",198,91.2,33.2,0,19.5,0,19.5
"246","Eastern Local","Brown","Region 14",305.75,95.65,5.925,0,3.5,3.25,6.75
"247","Eastern Local","Meigs","Region 16",397.5,92.85,20.8,0,0,30,30
"248","Eastern Local School District","Pike","Region 15",205.25,93.425,18.45,0,4.75,24.75,29.5
"249","Eastland Preparatory Academy","Franklin","Region 11",254,83.3,59.8,0,27,29,56
"250","Eastwood Local","Wood","Region 1",470,95.9666666666667,5.53333333333333,0,0,0,0
"251","Eaton Community City","Preble","Region 10",477.75,95.05,10.625,0,5,0,5
"252","Edge Academy, The","Summit","Region 8",239,91.4,32,0,26,0,26
"253","Edgerton Local","Williams","Region 1",283.5,95.7,6.5,0,0,0,0
"254","Edgewood City","Butler","Region 13",708,93.78,15.08,0,21.5,22.66,44.16
"255","Edison Local","Jefferson","Region 12",366,93.875,15.85,0,35.5,0,35.5
"256","Edison Local (formerly Berlin-Milan)","Erie","Region 2",488,94.9333333333333,10.1666666666667,0,6.83333333333333,0,6.83333333333333
"257","Edon Northwest Local","Williams","Region 1",239,95.05,9.1,0,0,0,0
"258","Educational Academy for Boys & Girls","Franklin","Region 11",129,92.9,23.7,0,0,0,0
"259","Elgin Local","Marion","Region 7",341,93.7,15.1,0,6,4,10
"260","Elida Local","Allen","Region 6",751,94,14.6666666666667,0,49.5666666666667,10.3666666666667,59.9333333333333
"261","Elmwood Local","Wood","Region 1",409,96.3,5.66666666666667,0,4.33333333333333,0,4.33333333333333
"262","Elyria City Schools","Lorain","Region 2",504.5,92.6166666666667,20.65,1,46.0666666666667,8.08333333333333,55.15
"263","Emerson Academy","Montgomery","Region 10",633,91.3,36.4,0,236.5,0,236.5
"264","Euclid City","Cuyahoga","Region 3",793,91.1166666666667,30.35,0,175.166666666667,0,175.166666666667
"265","Euclid Preparatory School","Cuyahoga","Region 3",251,88,47.6,0,290.3,0,290.3
"266","Everest High School","Franklin","Region 11",52,37.8,93.5,0,0,0,0
"267","Evergreen Local","Fulton","Region 1",392.666666666667,96.2,4.86666666666667,0,0,0,0
"268","Fairbanks Local","Union","Region 11",353.666666666667,95.9666666666667,5.36666666666667,0,0,0,0
"269","Fairborn City","Greene","Region 10",1039.5,92.825,20.325,0,78.275,89.375,167.65
"270","Fairborn Digital Academy","Greene","Region 10",145,99.9,0.5,0,0,0,0
"271","Fairfield City","Butler","Region 13",921.5,94.84,11.04,0,56.18,136.9,193.08
"272","Fairfield Local","Highland","Region 14",300.666666666667,95.0333333333333,10.3666666666667,0,0,13.3333333333333,13.3333333333333
"273","Fairfield Union Local","Fairfield","Region 11",475.5,94.8,11.15,0,8.875,7.75,16.625
"274","Fairland Local","Lawrence","Region 15",390.75,94.4,13.825,0,0,0,0
"275","Fairlawn Local","Shelby","Region 6",286.5,95.25,5.8,0,0,6.25,6.25
"276","Fairless Local","Stark","Region 9",487.333333333333,98.5333333333333,1.93333333333333,0,9.33333333333333,36.6666666666667,46
"277","Fairport Harbor Exempted Village","Lake","Region 4",342.5,92.9,19.45,0,35.5,23.5,59
"278","Fairview Park City","Cuyahoga","Region 3",413.25,95.375,7.725,0,5,0,5
"279","Fayette Local","Fulton","Region 1",205,94.45,12.5,0,0,0,0
"280","Fayetteville-Perry Local","Brown","Region 14",262,94.6333333333333,10.7333333333333,0,4,6,10
